"","Author","rel_fit","sm_magnitude"
"585","Blanchetteetal",0.307692307692,"1"
"583","Blanchetteetal",0.339622641509,"1"
"582","Blanchetteetal",0.360655737705,"1"
"580","Blanchetteetal",0.436781609195,"1"
"587","Blanchetteetal",0.703703703704,"1"
"588","Blanchetteetal",1.2962962963,"1"
"579","Blanchetteetal",1.5632183908,"1"
"581","Blanchetteetal",1.6393442623,"1"
"584","Blanchetteetal",1.66037735849,"1"
"586","Blanchetteetal",1.69230769231,"1"
"630","Carlsson-Graneretal.",0.145454545455,"2"
"632","Carlsson-Graneretal.",0.771428571429,"2"
"631","Carlsson-Graneretal.",1.22857142857,"2"
"629","Carlsson-Graneretal.",1.85454545455,"2"
"1029","Clayetal.",0.946145723337,"1"
"1032","Clayetal.",0.955078125,"1"
"1036","Clayetal.",0.980618710399,"1"
"1035","Clayetal.",0.982855013045,"1"
"1031","Clayetal.",1.0078125,"1"
"1028","Clayetal.",1.01795142555,"1"
"1030","Clayetal.",1.03590285111,"1"
"1034","Clayetal.",1.03652627656,"1"
"1033","Clayetal.",1.037109375,"1"
"619","Donohueetal.",0.604166666667,"1"
"621","Donohueetal.",0.628272251309,"1"
"623","Donohueetal.",0.628272251309,"1"
"618","Donohueetal.",0.865979381443,"1"
"617","Donohueetal.",1.13402061856,"1"
"622","Donohueetal.",1.37172774869,"1"
"624","Donohueetal.",1.37172774869,"1"
"620","Donohueetal.",1.39583333333,"1"
"594","Fischeretal.",0,"1"
"598","Fischeretal.",0.428571428571,"1"
"599","Fischeretal.",0.540540540541,"1"
"607","Fischeretal.",0.555555555556,"1"
"601","Fischeretal.",0.5625,"1"
"595","Fischeretal.",0.97,"1"
"604","Fischeretal.",0.987517337032,"1"
"605","Fischeretal.",1,"1"
"606","Fischeretal.",1,"1"
"603","Fischeretal.",1.01248266297,"1"
"593","Fischeretal.",1.03,"1"
"602","Fischeretal.",1.4375,"1"
"608","Fischeretal.",1.44444444444,"1"
"600","Fischeretal.",1.45945945946,"1"
"597","Fischeretal.",1.57142857143,"1"
"596","Fischeretal.",7.5,"1"
"133","Fornoni_et_al.",0.629680998613,"4"
"132","Fornoni_et_al.",0.981973789783,"3"
"131","Fornoni_et_al.",1.01802621022,"3"
"134","Fornoni_et_al.",1.37031900139,"4"
"1072","Galenetal",0,"1"
"1073","Galenetal",0.516129032258,"1"
"1074","Galenetal",1.48387096774,"1"
"1071","Galenetal",2,"1"
"590","Hendryetal",0.760355029586,"1"
"592","Hendryetal",0.82880755608,"1"
"591","Hendryetal",1.17119244392,"1"
"589","Hendryetal",1.23964497041,"1"
"1107","Joshietal",0,"1"
"1109","Joshietal",0,"1"
"1110","Joshietal",0,"1"
"1112","Joshietal",0,"1"
"1113","Joshietal",0,"1"
"1116","Joshietal",0,"1"
"1119","Joshietal",0,"1"
"1121","Joshietal",0,"1"
"1159","Joshietal",0,"1"
"1161","Joshietal",0,"1"
"1162","Joshietal",0,"1"
"1164","Joshietal",0,"1"
"1141","Joshietal",0.167047105209,"1"
"1103","Joshietal",0.208822339134,"1"
"1157","Joshietal",0.299015748031,"1"
"1129","Joshietal",0.304122438904,"1"
"1145","Joshietal",0.322328410078,"1"
"1206","Joshietal",0.331005586592,"1"
"1136","Joshietal",0.343864655524,"1"
"1127","Joshietal",0.373241175019,"1"
"1148","Joshietal",0.475890529974,"1"
"1078","Joshietal",0.593093093093,"1"
"1187","Joshietal",0.670092704555,"1"
"1088","Joshietal",0.673503142574,"1"
"1205","Joshietal",0.691340782123,"1"
"1192","Joshietal",0.703950020153,"1"
"1156","Joshietal",0.712401574803,"1"
"1169","Joshietal",0.734032411821,"1"
"1104","Joshietal",0.74949413193,"1"
"1117","Joshietal",0.761414790997,"1"
"1096","Joshietal",0.767293427635,"1"
"1087","Joshietal",0.800529275554,"1"
"1134","Joshietal",0.804728903384,"1"
"1196","Joshietal",0.810630059838,"1"
"1132","Joshietal",0.823277619242,"1"
"1076","Joshietal",0.824324324324,"1"
"1149","Joshietal",0.833188531712,"1"
"1184","Joshietal",0.834782608696,"1"
"1092","Joshietal",0.840434707607,"1"
"1180","Joshietal",0.847204968944,"1"
"1197","Joshietal",0.85498064062,"1"
"1191","Joshietal",0.863361547763,"1"
"1124","Joshietal",0.867440138237,"1"
"1143","Joshietal",0.878813031749,"1"
"1201","Joshietal",0.88687150838,"1"
"1150","Joshietal",0.889443961772,"1"
"1093","Joshietal",0.901155770226,"1"
"1178","Joshietal",0.903520208605,"1"
"1140","Joshietal",0.910769869267,"1"
"1082","Joshietal",0.918918918919,"1"
"1177","Joshietal",0.919491525424,"1"
"1171","Joshietal",0.940896091516,"1"
"1185","Joshietal",0.945341614907,"1"
"1089","Joshietal",0.947403241813,"1"
"1095","Joshietal",0.954976712092,"1"
"1176","Joshietal",0.958279009126,"1"
"1138","Joshietal",0.961610292592,"1"
"1199","Joshietal",0.962161210841,"1"
"1198","Joshietal",0.968321013728,"1"
"1081","Joshietal",0.978978978979,"1"
"1105","Joshietal",0.982598138406,"1"
"1106","Joshietal",0.982598138406,"1"
"1170","Joshietal",0.985382904353,"1"
"1094","Joshietal",0.996377436605,"1"
"1183","Joshietal",1.0099378882,"1"
"1086","Joshietal",1.01753225273,"1"
"1079","Joshietal",1.02252252252,"1"
"1172","Joshietal",1.02444589309,"1"
"1173","Joshietal",1.02444589309,"1"
"1083","Joshietal",1.02547138604,"1"
"1090","Joshietal",1.02679457493,"1"
"1174","Joshietal",1.02900912647,"1"
"1100","Joshietal",1.03278025091,"1"
"1123","Joshietal",1.03332510491,"1"
"1190","Joshietal",1.03405884724,"1"
"1097","Joshietal",1.05295842677,"1"
"1154","Joshietal",1.05826771654,"1"
"1179","Joshietal",1.05838509317,"1"
"1181","Joshietal",1.06211180124,"1"
"1168","Joshietal",1.0621226565,"1"
"1165","Joshietal",1.07213218939,"1"
"1077","Joshietal",1.07357357357,"1"
"1194","Joshietal",1.08166138684,"1"
"1080","Joshietal",1.08708708709,"1"
"1193","Joshietal",1.09028511088,"1"
"1166","Joshietal",1.09326342548,"1"
"1155","Joshietal",1.10098425197,"1"
"1091","Joshietal",1.10677936864,"1"
"1167","Joshietal",1.11217032094,"1"
"1189","Joshietal",1.13704151552,"1"
"1175","Joshietal",1.1408083442,"1"
"1204","Joshietal",1.14804469274,"1"
"1152","Joshietal",1.1561023622,"1"
"1101","Joshietal",1.16390125455,"1"
"1126","Joshietal",1.17329054554,"1"
"1137","Joshietal",1.17659265408,"1"
"1186","Joshietal",1.1807738815,"1"
"1131","Joshietal",1.18141051773,"1"
"1085","Joshietal",1.18557724115,"1"
"1133","Joshietal",1.1956787607,"1"
"1203","Joshietal",1.21368715084,"1"
"1115","Joshietal",1.21414790997,"1"
"1135","Joshietal",1.22421524664,"1"
"1195","Joshietal",1.23196057726,"1"
"1182","Joshietal",1.24223602484,"1"
"1099","Joshietal",1.26102792392,"1"
"1153","Joshietal",1.29527559055,"1"
"1084","Joshietal",1.32318888521,"1"
"1202","Joshietal",1.33240223464,"1"
"1151","Joshietal",1.37795275591,"1"
"1098","Joshietal",1.38002415042,"1"
"1200","Joshietal",1.39664804469,"1"
"1188","Joshietal",1.41072148327,"1"
"1130","Joshietal",1.42682429678,"1"
"1139","Joshietal",1.45258352355,"1"
"1142","Joshietal",1.45258352355,"1"
"1144","Joshietal",1.45655951347,"1"
"1075","Joshietal",1.5015015015,"1"
"1146","Joshietal",1.50217202433,"1"
"1147","Joshietal",1.52041702867,"1"
"1125","Joshietal",1.52061219452,"1"
"1102","Joshietal",1.61877782274,"1"
"1122","Joshietal",1.67717041801,"1"
"1128","Joshietal",1.72796840286,"1"
"1108","Joshietal",1.7708129285,"1"
"1120","Joshietal",1.77491961415,"1"
"1158","Joshietal",2.26863084922,"1"
"1160","Joshietal",2.30502599653,"1"
"1114","Joshietal",2.31145935357,"1"
"1163","Joshietal",2.42634315425,"1"
"1118","Joshietal",2.57234726688,"1"
"1111","Joshietal",3.91772771792,"1"
"700","Kiketal.",0,"1"
"701","Kiketal.",0,"1"
"709","Kiketal.",0,"1"
"711","Kiketal.",0,"1"
"720","Kiketal.",0,"1"
"721","Kiketal.",0,"1"
"712","Kiketal.",0.333333333333,"1"
"705","Kiketal.",0.45,"1"
"704","Kiketal.",0.521739130435,"1"
"696","Kiketal.",0.714285714286,"1"
"702","Kiketal.",0.782608695652,"1"
